mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
+------+-----------+
|    1 | ECs0001   |
|    2 | ECs0002   |
|    3 | ECs0003   |
|    4 | ECs0004   |
|    5 | ECs0005   |
|    6 | ECs0006   |
|    7 | ECs0007   |
|    8 | ECs0008   |
|    9 | ECs0009   |
|   10 | ECs0010   |
|   11 | ECs0012   |
|   12 | ECs0011   |
|   13 | ECs0013   |
|   14 | ECs0014   |
|   15 | ECs0015   |
|   16 | ECs0016   |
|   17 | ECs0017   |
|   18 | ECs0018   |
|   19 | ECs0019   |
|   20 | ECs0020   |
|   21 | ECs0021   |
|   22 | ECs0022   |
|   23 | ECs0023   |
|   24 | ECs0024   |
|   25 | ECs0025   |
|   26 | ECs0026   |
|   27 | ECs0027   |
|   28 | ECs0028   |
|   29 | ECs0029   |
|   30 | ECs0030   |
|   31 | ECs0031   |
|   32 | ECs0032   |
|   33 | ECs0033   |
|   34 | ECs0034   |
|   35 | ECs0035   |
|   36 | ECs0036   |
|   37 | ECs0037   |
|   38 | ECs0038   |
|   39 | ECs0039   |
|   40 | ECs0040   |
|   41 | ECs0041   |
|   42 | ECs0042   |
|   43 | ECs0043   |
|   44 | ECs0044   |
|   45 | ECs0045   |
|   46 | ECs0046   |
|   47 | ECs0047   |
|   48 | ECs0048   |
|   49 | ECs0049   |
|   50 | ECs0050   |
|   51 | ECs0051   |
|   52 | ECs0052   |
|   53 | ECs0053   |
|   54 | ECs0054   |
|   55 | ECs0055   |
|   56 | ECs0056   |
|   57 | ECs0057   |
|   58 | ECs0058   |
|   59 | ECs0059   |
|   60 | ECs0060   |
|   61 | ECs0061   |
|   62 | ECs0062   |
|   63 | ECs0063   |
|   64 | ECs0064   |
|   65 | ECs0065   |
|   66 | ECs0066   |
|   67 | ECs0067   |
|   68 | ECs0068   |
|   69 | ECs0069   |
|   70 | ECs0070   |
|   71 | ECs0071   |
|   72 | ECs0072   |
|   73 | ECs0073   |
|   74 | ECs0074   |
|   75 | ECs0075   |
|   76 | ECs0076   |
|   77 | ECs0077   |
|   78 | ECs0078   |
|   79 | ECs0079   |
|   80 | ECs0080   |
|   81 | ECs0081   |
|   82 | ECs0082   |
|   83 | ECs0083   |
|   84 | ECs0084   |
|   85 | ECs0085   |
|   86 | ECs0086   |
|   87 | ECs0087   |
|   88 | ECs0088   |
|   89 | ECs0089   |
|   90 | ECs0090   |
|   91 | ECs0091   |
|   92 | ECs0092   |
|   93 | ECs0093   |
|   94 | ECs0094   |
|   95 | ECs0095   |
|   96 | ECs0096   |
|   97 | ECs0097   |
|   98 | ECs0098   |
|   99 | ECs0099   |
|  100 | ECs0100   |
|  101 | ECs0101   |
|  102 | ECs0102   |
|  103 | ECs0103   |
|  104 | ECs0104   |
|  105 | ECs0105   |
|  106 | ECs0106   |
|  107 | ECs0107   |
|  108 | ECs0108   |
|  109 | ECs0109   |
|  110 | ECs0110   |
|  111 | ECs0111   |
|  112 | ECs0112   |
|  113 | ECs0113   |
|  114 | ECs0114   |
|  115 | ECs0115   |
|  116 | ECs0116   |
|  117 | ECs0117   |
|  118 | ECs0118   |
|  119 | ECs0119   |
|  120 | ECs0120   |
|  121 | ECs0121   |
|  122 | ECs0122   |
|  123 | ECs0123   |
|  124 | ECs0124   |
|  125 | ECs0125   |
|  126 | ECs0126   |
