Gene	experiment	X18MM1
ECs0001	X18MM1	6875
ECs0002	X18MM1	24239
ECs0003	X18MM1	7491
ECs0004	X18MM1	15946
ECs0005	X18MM1	966
ECs0006	X18MM1	5472
ECs0007	X18MM1	1047
ECs0008	X18MM1	34031
ECs0009	X18MM1	1741
ECs0010	X18MM1	3332
ECs0012	X18MM1	11
ECs0011	X18MM1	0
ECs0013	X18MM1	118
ECs0014	X18MM1	106943
ECs0015	X18MM1	23037
ECs0016	X18MM1	7157
ECs0017	X18MM1	20124
ECs0018	X18MM1	6625
ECs0019	X18MM1	237
ECs0020	X18MM1	1
ECs0021	X18MM1	17
ECs0022	X18MM1	169
ECs0023	X18MM1	31
ECs0024	X18MM1	47
ECs0025	X18MM1	40
ECs0026	X18MM1	66335
ECs0027	X18MM1	5828
ECs0028	X18MM1	11400
ECs0029	X18MM1	43868
ECs0030	X18MM1	5294
ECs0031	X18MM1	4402
ECs0032	X18MM1	5574
ECs0033	X18MM1	1378
ECs0034	X18MM1	1884
ECs0035	X18MM1	59125
ECs0036	X18MM1	137499
ECs0037	X18MM1	3085
ECs0038	X18MM1	377
ECs0039	X18MM1	33
ECs0040	X18MM1	518
ECs0041	X18MM1	410
ECs0042	X18MM1	462
ECs0043	X18MM1	50
ECs0044	X18MM1	90
ECs0045	X18MM1	141
ECs0046	X18MM1	115
ECs0047	X18MM1	18
ECs0048	X18MM1	291
ECs0049	X18MM1	773
ECs0050	X18MM1	2561
ECs0051	X18MM1	7442
ECs0052	X18MM1	2867
ECs0053	X18MM1	1817
ECs0054	X18MM1	8547
ECs0055	X18MM1	6907
ECs0056	X18MM1	14728
ECs0057	X18MM1	10729
ECs0058	X18MM1	34650
ECs0059	X18MM1	48273
ECs0060	X18MM1	2215
ECs0061	X18MM1	588
ECs0062	X18MM1	2895
ECs0063	X18MM1	11937
ECs0064	X18MM1	3508
ECs0065	X18MM1	244
ECs0066	X18MM1	497
ECs0067	X18MM1	239
ECs0068	X18MM1	848
ECs0069	X18MM1	3134
ECs0070	X18MM1	1383
ECs0071	X18MM1	2048
ECs0072	X18MM1	7084
ECs0073	X18MM1	229
ECs0074	X18MM1	2206
ECs0075	X18MM1	3381
ECs0076	X18MM1	5134
ECs0077	X18MM1	5407
ECs0078	X18MM1	6974
ECs0079	X18MM1	338
ECs0080	X18MM1	111
ECs0081	X18MM1	4749
ECs0082	X18MM1	1667
ECs0083	X18MM1	80
ECs0084	X18MM1	4802
ECs0085	X18MM1	5175
ECs0086	X18MM1	9260
ECs0087	X18MM1	2138
ECs0088	X18MM1	5632
ECs0089	X18MM1	5874
ECs0090	X18MM1	5554
ECs0091	X18MM1	3023
ECs0092	X18MM1	3475
ECs0093	X18MM1	4084
ECs0094	X18MM1	4580
ECs0095	X18MM1	6574
ECs0096	X18MM1	5934
ECs0097	X18MM1	5928
ECs0098	X18MM1	6395
ECs0099	X18MM1	28642
ECs0100	X18MM1	69290
ECs0101	X18MM1	5383
ECs0102	X18MM1	28352
ECs0103	X18MM1	948
