Name	Type	Length	%GC	Description 	    
ECs0001	N	84	51.19	BA000007_190_273 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0002	N	2463	52.82	BA000007_354_2816 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0003	N	933	56.27	BA000007_2818_3750 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0004	N	1287	53.15	BA000007_3751_5037 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0005	N	297	53.87	BA000007_5251_5547 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0006	N	777	48.91	BA000007_5700_6476 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0007	N	1431	52.97	BA000007_6546_7976 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0008	N	954	51.68	BA000007_8255_9208 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0009	N	588	53.91	BA000007_9323_9910 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0010	N	567	52.73	BA000007_9945_10511 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0012	N	714	50.98	BA000007_10660_11373 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0011	N	621	50.08	BA000007_10742_11362 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0013	N	405	48.89	BA000007_11399_11803 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0014	N	1917	51.38	BA000007_12180_14096 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0015	N	1131	55.08	BA000007_14185_15315 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0016	N	210	50.95	BA000007_15419_15628 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0017	N	1167	51.33	BA000007_16157_17323 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0018	N	906	47.57	BA000007_17383_18288 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0019	N	528	36.93	BA000007_18326_18853 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0020	N	117	37.61	BA000007_18832_18948 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0021	N	327	37.00	BA000007_18959_19285 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0022	N	2451	41.00	BA000007_19298_21748 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0023	N	684	36.55	BA000007_21761_22444 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0024	N	534	39.14	BA000007_22494_23027 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0025	N	1422	32.28	BA000007_23329_24750 [CDS]	Escherichia coli O157:H7 str. Sakai
